mstardisk,mstarspheroid,sfrdisk,sfrspheroid,mzgasdisk,mzhothalo,mcolddisk,halomass,mbh,mhot
116379000000,51467100000,0,0,287665000,36178700000,22952200000,425600000000000,200778000,40898800000000
0,97869800000,0,2426230000,76814100,60963900000,5092120000,425590000000000,248399000,42956200000000
141177000000,97854200000,0,0,122405000,252655000,5330700000,425560000000000,307633000,69766800000
71300800000,75007200000,0,0,76805900,39839000000,14213600000,425540000000000,148994000,47895800000000
0,590456000000,0,702230000,292589000,56162700000,16516400000,425280000000000,1070270000,48331200000000
0,55163400000,0,0,69459100,59126900000,8664420000,424990000000000,166854000,46653000000000
0,236208000000,0,0,19337200,39036800000,8048630000,424490000000000,382072000,49324500000000
0,112777000000,0,0,41709000,80455900000,5693770000,424480000000000,311117000,56986100000000
0,235235000000,0,0,9266000,65882700000,3514770000,424450000000000,709382000,54120200000000
0,197643000000,0,0,20267700,57766200000,2501880000,424350000000000,468665000,52300100000000
346717000000,59156000000,0,0,308052000,44180200000,22973000000,424300000000000,169669000,47017700000000
0,227753000000,0,0,43956300,60885700000,3823450000,424280000000000,629507000,48035200000000
0,59785800000,0,0,9229900,64232700000,2892690000,424110000000000,274362000,50187900000000
0,151535000000,0,0,41281400,71544800000,6777350000,423670000000000,474818000,52657500000000
0,199413000000,0,0,6188650,56561300000,2847200000,423440000000000,313106000,47761400000000
0,118882000000,0,0,15622700,77069600000,6086620000,423330000000000,184536000,47704800000000
0,311413000000,0,0,15983600,71387500000,3047440000,422450000000000,533575000,55636100000000
0,170827000000,0,790209000,36990300,76158000000,5080330000,422300000000000,393761000,53963200000000
204653000000,115335000000,0,0,231125000,68944100000,14585300000,422010000000000,326335000,54468200000000
0,154088000000,0,0,46553000,65184000000,12575500000,421940000000000,147635000,46815100000000
0,219295000000,0,0,62805200,44628400000,4376690000,421920000000000,334071000,41068200000000
0,176291000000,0,0,69286900,46462300000,9091390000,421870000000000,334781000,46597100000000
119910000000,115052000000,0,0,90156500,73065000000,6848910000,421810000000000,268021000,54107700000000
0,247628000000,0,1438220000,46790300,63787900000,7939620000,421060000000000,343994000,49154200000000
101251000000,108629000000,0,0,114223000,49983400000,12929000000,420820000000000,214883000,43629100000000
0,170644000000,0,0,7110880,68848400000,2069700000,420690000000000,467253000,53834600000000
0,127584000000,0,6748640000,7916130,35184200000,870093000,420390000000000,224460000,41506600000000
240072000000,111226000000,0,0,268167000,35538900000,14036200000,420119000000000,323779000,70898100000000
143068000000,103744000000,0,0,356191000,54470100000,16426300000,420070000000000,393641000,44672900000000
0,236044000000,0,0,126085000,68980100000,12125400000,420010000000000,347809000,53390900000000
0,145696000000,0,0,65497300,29999900000,5322400000,419910000000000,312025000,37183700000000
142360000000,106040000000,0,0,157751000,55488600000,17947000000,419600000000000,259447000,50720600000000
0,207837000000,0,0,61544100,74905700000,9194680000,419530000000000,549749000,55820500000000
0,92649100000,0,1540840000,67326700,61603000000,8886570000,419400000000000,182133000,46820300000000
0,95667900000,0,0,17918200,15508500000,451721000,419360000000000,314658000,30745500000000
0,172842000000,0,0,33928800,58254000000,10265000000,418940000000000,241855000,50500000000000
207335000000,204348000000,0,0,134562000,69489000000,4717450000,418890000000000,373810000,50578500000000
281448000000,246391000000,0,0,194605000,66447800000,9083350000,418790000000000,605352000,53270600000000
0,88998100000,0,0,23139900,41484000000,2386980000,418760000000000,324765000,42069300000000
0,403443000000,0,0,184223000,66511000000,8371600000,418350000000000,930789000,53849200000000
0,167670000000,0,0,40829600,42723600000,11579000000,418250000000000,449706000,45037000000000
0,319025000000,0,0,103862000,88246100000,9675330000,417920000000000,520613000,55542600000000
0,322409000000,0,0,22035500,53139300000,7670390000,417850000000000,457435000,48770000000000
42273700000,110313000000,0,0,134619000,73685900000,7142790000,417650000000000,439236000,56305400000000
0,114237000000,0,0,68108000,5073840000,7249940000,417270000000000,219775000,27665500000000
0,102866000000,0,0,68967400,52752600000,13383100000,417090000000000,107384000,46383100000000
0,147283000000,0,0,4326620,31536700000,1668070000,417020000000000,429878000,45926900000000
37600700000,163792000000,0,0,92681600,63664700000,6662650000,416920000000000,376729000,53128800000000
0,43993600000,0,0,14556600,4806710000,1294300000,416900000000000,99044900,21732200000000
0,59398100000,0,902881000,19521100,31683900000,5784480000,416460000000000,117770000,37044300000000
0,102940000000,0,0,69744600,75126200000,17095900000,416200000000000,185659000,54722900000000
0,183412000000,0,151587000,11057400,42364400000,628603000,416160000000000,358431000,47245700000000
26005600000,39186400000,13276400000,0,894070000,62034900000,204387000000,416150000000000,174210000,54599200000000
0,152800000000,0,0,35422400,15219600000,1701150000,415900000000000,311283000,12948600000000
0,289445000000,0,0,10574500,42299300000,3752420000,415790000000000,227896000,39392400000000
10189900000,52600000000,0,0,46832100,35526900000,10946300000,415650000000000,142566000,42795400000000
0,158638000000,0,0,35142100,66650600000,3132640000,415380000000000,364854000,50242400000000
0,624472000000,0,0,68734600,63970300000,5477670000,415150000000000,1171170000,45634700000000
0,159840000000,0,0,89710400,36697300000,6257600000,414950000000000,199745000,42528500000000
0,340319000000,0,0,4869290,20652800000,527156000,414720000000000,370077000,24220900000000
0,151173000000,0,0,6996370,51836400000,887679000,414580000000000,290402000,52803800000000
217789000000,2466340000,0,0,1540070000,37026000000,156641000000,414480000000000,20734700,37590300000000
0,63107600000,0,0,12533800,44990100000,4098700000,414030000000000,239164000,46980900000000
0,116209000000,0,0,114828000,57992200000,14538100000,413780000000000,282736000,51108500000000
0,162585000000,0,0,33770200,65564900000,6126790000,413130000000000,350328000,49131100000000
0,150559000000,0,0,22912000,73652200000,3207230000,412940000000000,340626000,53136700000000
0,101025000000,0,0,1839250,38038200000,2326510000,412910000000000,209851000,46856600000000
0,97413700000,0,0,29975300,33064500000,7963630000,412900000000000,170027000,30800100000000
333681000000,60121200000,0,0,398118000,49505800000,26541800000,412780000000000,166080000,37676000000000
0,115823000000,0,7826810000,2342730,67503500000,1009100000,412670000000000,316560000,46985400000000
0,198721000000,0,6855630000,65315100,86576900000,1851820000,412460000000000,758863000,56180700000000
0,140751000000,0,0,72429800,73654300000,6236830000,412360000000000,349048000,47018500000000
0,212730000000,0,4153980000,99324000,55729600000,11010300000,412210000000000,394523000,51335000000000
181178000000,103292000000,0,0,182854000,64334000000,16943600000,412160000000000,198877000,48036400000000
0,199191000000,0,0,119285000,84333400000,17983600000,412130000000000,260733000,52555800000000
126944000000,52928800000,0,4017460000,549995000,82526300000,34149800000,411760000000000,296368000,54261900000000
76974200000,227428000000,0,846097000,54227100,73296900000,3838720000,411680000000000,409493000,50952300000000
0,150906000000,0,15116800000,30159400,49991400000,1948990000,411610000000000,423433000,50263600000000
0,163044000000,0,13517600000,12980900,51025800000,1732300000,411390000000000,641538000,44879600000000
0,147169000000,0,0,23128800,85422900000,7844570000,411370000000000,417933000,55007800000000
0,138540000000,0,0,14690100,61460200000,2216180000,411290000000000,593738000,49577700000000
0,55921500000,0,0,66592100,42411400000,13601800000,411090000000000,167872000,45872200000000
61850400000,31744800000,0,0,575558000,68832000000,74430300000,410960000000000,142993000,51866700000000
0,267887000000,0,0,150789000,65195400000,12569300000,410810000000000,516807000,55986700000000
0,132218000000,0,0,27129300,45948800000,5276070000,410730000000000,348092000,48570500000000
0,225293000000,0,0,26584100,61299100000,5032390000,410490000000000,425533000,54074500000000
0,102784000000,0,0,55326000,48736400000,8990170000,410410000000000,258318000,50971100000000
0,264682000000,0,0,88042500,49158800000,12700600000,410350000000000,484186000,54897100000000
0,72308000000,0,0,14792500,11858200000,788983000,410290000000000,223681000,18644000000000
0,138099000000,0,0,14394900,54028600000,3871340000,410220000000000,280715000,43841200000000
0,117162000000,0,0,73101100,24557900000,2714300000,410160000000000,148568000,36924300000000
0,218314000000,0,0,37889000,60086600000,2583250000,409540000000000,195064000,45887800000000
0,107532000000,0,0,19334500,79658900000,10098200000,409530000000000,197962000,56166000000000
0,274402000000,0,0,21996700,75487500000,2436360000,409480000000000,517615000,52379700000000
0,108060000000,0,0,105662000,61507500000,12687400000,409330000000000,298465000,53742800000000
76867300000,134076000000,0,0,134749000,79150700000,13875200000,408970000000000,371830000,53868300000000
0,191219000000,0,0,28149700,83728000000,13398900000,408920000000000,649639000,54944100000000
510859000000,275002000000,0,819199000,266879000,88576100000,11591000000,408860000000000,497123000,53220800000000
0,160029000000,0,0,50541300,88810600000,7640510000,408840000000000,417113000,55486700000000
0,78757300000,0,0,1944780,45044400000,1590050000,408420000000000,159110000,42059000000000
0,123653000000,0,0,45176900,71577800000,5553800000,408150000000000,262169000,53160900000000
0,103439000000,0,0,120960000,83035300000,18642500000,408050000000000,272328000,54400600000000
154315000000,199171000000,0,0,163727000,60614400000,13715900000,408000000000000,419143000,54245800000000
102153000000,9421240000,0,0,436848000,36235300000,48358300000,407770000000000,45593200,41810900000000
261009000000,84655200000,0,0,378606000,53616600000,20648300000,407540000000000,240620000,46943500000000
0,129861000000,0,0,64618800,85502100000,11981500000,407430000000000,431735000,54506900000000
0,312737000000,0,0,46746000,50392400000,8923880000,407040000000000,1086370000,47360500000000
