mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,1000490000000,12887900000,12821400000,67034700,1491180000,3281740000,471820000000000,38325000000,55411200000000,33117400000
0,953019000000,2034380000,1937710000,13740700,4504190000,880754000,471060000000000,35183300000,44596000000000,54262100000
0,1538780000000,3045610000,3001610000,2054130,4857030000,420007000,470320000000000,68677900000,55671500000000,55227800000
0,1053540000000,27062700,0,18440500,18074200000,1064220000,470150000000000,72910200000,43897300000000,157282000000
0,1195900000000,1127310000,1011240000,0,4939850000,0,469730000000000,66596100000,52040700000000,64524600000
0,1270560000000,1698770000,1558720000,28675000,15008500,2270110000,469640000000000,75478500000,54498700000000,1073950000
0,1006430000000,889951000,287926000,113390000,1688110,2834710000,469420000000000,50761500000,36161000000000,188184000
0,911961000000,1737060000,1693540000,10163600,62700500,837179000,468300000000000,36577300000,42515900000000,3771210000
0,1123740000000,1040360,0,13353200,5594230000,755136000,468270000000000,87397900000,58200700000000,76046800000
0,1521050000000,3354590000,3349820000,0,6403050000,0,468240000000000,128040000000,57861700000000,87679900000
0,1621120000000,6767430000,6761830000,29549300,37149300,1287670000,468090000000000,105369000000,58099400000000,1409990000
0,1008160000000,5626380000,5579610000,6361810,479207000,611307000,467850000000000,41899400000,53214600000000,13252200000
0,1158770000000,2281520000,2271180000,22585600,2874310000,1612240000,467650000000000,48667500000,50016600000000,35772800000
0,704256000000,60308000,0,31299400,0,1643590000,466850000000000,33492500000,50929600000000,0
0,1027400000000,284527000,0,150905000,10092400000,8746350000,466450000000000,68995500000,42345100000000,125717000000
0,1006890000000,69073.1,0,227496000,0,6918650000,466410000000000,74999100000,53221200000000,0
0,1191760000000,32672600,0,22291700,0,1396860000,466340000000000,88722500000,57569700000000,0
0,1270570000000,36199300,14200100,80203200,5204360000,6470580000,465650000000000,60542200000,54736800000000,48496500000
0,835278000000,1513910000,1231630000,57225000,4801570,4369870000,465600000000000,43360400000,57183100000000,619774000
0,1079580000000,20197700000,20166900000,61732500,10010200000,1064690000,465360000000000,100541000000,57506700000000,94481100000
0,1141380000000,11476800000,10642700000,54704200,9608830000,3300220000,464740000000000,55973900000,47841700000000,86847700000
0,1568010000000,1405840000,1394190000,1638630,18922300,287127000,464150000000000,131159000000,63811600000000,1546950000
0,1278720000000,1757590,0,34040600,5629800000,1657980000,463980000000000,86115400000,56683100000000,88335600000
0,942199000000,263299000,240472000,34829800,331536000,1942150000,463880000000000,42261500000,41921200000000,8134560000
0,1204130000000,2278620000,2164980000,6219320,66523300,542933000,463460000000000,60923500000,49898100000000,2696360000
0,970599000000,6366970000,3308740000,477405000,7091600000,19807200000,463390000000000,42132000000,38276800000000,79983000000
0,1148570000000,546213000,0,51159800,0,3203930000,463270000000000,82147800000,55772100000000,0
513320000,1171540000000,4597240000,4494520000,342535000,161819000,12117200000,463160000000000,80760100000,49220000000000,4564660000
0,1109600000000,4079460000,4063250000,9239780,224148000,1001640000,462840000000000,55011500000,50283800000000,6797860000
0,1365540000000,628855000,510938000,135336,12996400000,36757900,462790000000000,96678900000,51517000000000,112386000000
49202400000,1484270000000,5898150,0,2507530000,0,54099100000,462680000000000,59935700000,61340700000000,0
