mstardisk mstarspheroid sfr sfrspheroid mzgasdisk mzgasspheroid mcolddisk halomass mbh mhot mcoldspheroid zgasdisk zgasspheroid test test1 test2 test3 test4 test5 test6 test7 test8 test9
0 2.59918E+12 26889000000 25774200000 30928100 21493900000 3317290000 1.15E+15 1.01009E+12 1.34149E+14 2.81935E+11 0.009323303 0.076237076 0 0 0 0 0 0 0 0 0 0
0 2.9459E+12 718489000 686265000 71703300 37610500 3344680000 1.14E+15 4.88714E+11 1.24335E+14 1381710000 0.021438015 0.027220256 0 0 0 0 0 0 0 0 0 0
0 1.37301E+12 955534000 931640000 47505900 10852100 2320570000 1.14E+15 87036500000 9.67299E+13 945153000 0.020471651 0.011481845 0 0 0 0 0 0 0 0 0 0
0 2.83445E+12 515856000 484238000 1881110 1742520 165648000 1.14E+15 4.97203E+11 1.33907E+14 60720900 0.011356068 0.028697203 0 0 0 0 0 0 0 0 0 0
0 2.31459E+12 1444030000 1109720000 14376400 7683730000 911597000 1.12E+15 3.19264E+11 1.22523E+14 99929700000 0.015770565 0.076891355 0 0 0 0 0 0 0 0 0 0
0 3.21926E+12 7891550000 6336590000 89884000 4325080000 7546380000 1.09E+15 6.59273E+11 1.3525E+14 59251000000 0.011910876 0.072995899 0 0 0 0 0 0 0 0 0 0
0 2.34167E+12 21025400000 20870600000 10414500 2121340000 454530000 1.08E+15 5.5949E+11 1.28577E+14 46704300000 0.022912679 0.045420657 0 0 0 0 0 0 0 0 0 0
0 2.80125E+12 639178000 188819000 336946000 971630000 11359200000 1.08E+15 4.71212E+11 1.06838E+14 13381500000 0.029662828 0.072609947 0 0 0 0 0 0 0 0 0 0
0 2.80247E+12 83157400 0 43950600 2489180000 3303900000 1.07E+15 6.04825E+11 1.35164E+14 40245100000 0.013302642 0.061850511 0 0 0 0 0 0 0 0 0 0
0 3.22667E+12 97425600 0 1472960000 35175300000 55010300000 1.07E+15 1.67231E+12 1.38937E+14 4.17901E+11 0.026776076 0.084171371 0 0 0 0 0 0 0 0 0 0
0 2.36095E+12 7393810000 7328160000 8956360 12987700000 496161000 1.07E+15 4.15321E+11 1.34497E+14 1.80574E+11 0.018051318 0.07192453 0 0 0 0 0 0 0 0 0 0
0 1.7089E+12 2634150000 2597210000 0 1300650000 0 1.06E+15 2.1586E+11 1.19036E+14 24741000000 0 0.052570632 0 0 0 0 0 0 0 0 0 0
0 2.98223E+12 100357000 0 175889000 22872300000 7777180000 1.05E+15 6.39103E+11 1.33388E+14 2.31435E+11 0.022616038 0.098828181 0 0 0 0 0 0 0 0 0 0
0 3.22374E+12 180234000 172847000 71283500 8900370000 4516800000 1.04E+15 9.10119E+11 1.29368E+14 91933200000 0.015781859 0.096813447 0 0 0 0 0 0 0 0 0 0
0 1.24492E+12 11405200000 11033600000 122316000 579380000 7142490000 1.04E+15 54405700000 3.07082E+13 19048900000 0.01712512 0.030415405 0 0 0 0 0 0 0 0 0 0
0 2.36678E+12 156833000 0 2541800000 12452000000 77963900000 1.02E+15 5.52241E+11 1.15305E+14 1.79297E+11 0.032602268 0.069449015 0 0 0 0 0 0 0 0 0 0
0 1.33212E+12 3285120000 3275910000 10414900 4139100000 936738000 1.01E+15 96608500000 9.8975E+13 52457200000 0.011118264 0.078904326 0 0 0 0 0 0 0 0 0 0
0 2.8384E+12 1690470000 1540140000 155405000 29339700000 5154250000 1.01E+15 9.51948E+11 1.2225E+14 3.18664E+11 0.030150846 0.092070959 0 0 0 0 0 0 0 0 0 0
0 1.59069E+12 1904410000 1747490000 14440800 15518500000 561870000 1.00E+15 2.60005E+11 1.13257E+14 1.68187E+11 0.025701319 0.092269319 0 0 0 0 0 0 0 0 0 0
0 3.22987E+12 1.13992E+11 1.13683E+11 1043550000 44162200000 15941300000 9.9604E+14 1.62128E+11 1.047E+14 3.43909E+11 0.065462039 0.128412458 0 0 0 0 0 0 0 0 0 0
0 2.41178E+12 14186500000 14031700000 9282820 502801000 595472000 9.8862E+14 2.60157E+11 9.93514E+13 15154600000 0.015589012 0.033178111 0 0 0 0 0 0 0 0 0 0
0 3.52647E+12 297252000 0 159002000 1753340000 6065280000 9.8485E+14 5.14552E+11 1.23615E+14 32359700000 0.026215113 0.054182826 0 0 0 0 0 0 0 0 0 0
0 1.53016E+12 5295610000 4781360000 20552500 6773830000 1017010000 9.8196E+14 1.81621E+11 5.65473E+13 89117300000 0.020208749 0.07601027 0 0 0 0 0 0 0 0 0 0
0 2.94743E+12 13634900000 13227700000 66926400 4935200000 3272450000 9.8131E+14 8.43341E+11 1.13332E+14 1.01924E+11 0.020451466 0.048420392 0 0 0 0 0 0 0 0 0 0
0 2.02216E+12 868442000 809962000 39556500 31689600000 1249630000 9.7908E+14 2.69324E+11 1.07346E+14 2.97319E+11 0.03165457 0.10658451 0 0 0 0 0 0 0 0 0 0
3,667,940,000,177,510,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000           0 0 0 0 0 0 0 0 0 0 0 0
0 1.04124E+12 350736000 203351000 61226100 2280370000 2112360000 9.6873E+14 41883500000 5.68454E+13 22567800000 0.02898469 0.101045295 0 0 0 0 0 0 0 0 0 0
0 2.60014E+12 1451310000 0 1591520000 221062000 36722200000 9.6257E+14 1.12536E+12 1.31264E+14 8020450000 0.043339451 0.027562294 0 0 0 0 0 0 0 0 0 0
0 2.13274E+12 4697910000 3376230000 104636000 540402000 4340020000 9.6053E+14 1.21713E+11 9.08685E+13 15817700000 0.024109566 0.034164385 0 0 0 0 0 0 0 0 0 0
0 2.4859E+12 310928000 261551000 334424 10138800000 18252500 9.5971E+14 2.92555E+11 1.17425E+14 1.23352E+11 0.018322093 0.082194046 0 0 0 0 0 0 0 0 0 0
0 1.08829E+12 10106700000 9298600000 104989000 79827200 4391370000 9.5851E+14 61217100000 8.87427E+13 2900990000 0.023908029 0.027517227 0 0 0 0 0 0 0 0 0 0
0 1.332E+12 45087000 0 595854000 8054540000 20584400000 9.5835E+14 1.40056E+11 9.59068E+13 1.16887E+11 0.028946872 0.068908775 0 0 0 0 0 0 0 0 0 0
0 1.65276E+12 12333200000 12091400000 16596100 11693700000 631460000 9.582E+14 2.59599E+11 1.09621E+14 1.56642E+11 0.026282108 0.074652392 0 0 0 0 0 0 0 0 0 0
0 3.17798E+12 10707200000 10668100000 20205200 16500300000 765827000 9.5445E+14 3.68681E+11 1.12919E+14 1.87121E+11 0.026383504 0.088179841 0 0 0 0 0 0 0 0 0 0
0 1.93464E+12 2146300000 2050140000 549019 28494300 37209300 9.5128E+14 1.57126E+11 9.90034E+13 1148270000 0.014754887 0.024814983 0 0 0 0 0 0 0 0 0 0
0 2.22165E+12 423808000 0 401609000 13718000000 12658100000 9.4497E+14 3.4336E+11 1.00802E+14 1.69469E+11 0.031727431 0.080946958 0 0 0 0 0 0 0 0 0 0
0 3.23987E+12 18021900000 17753000000 49093400 20795600000 1783330000 9.3377E+14 1.13915E+12 1.25012E+14 2.77718E+11 0.027529061 0.074880274 0 0 0 0 0 0 0 0 0 0
0 2.3137E+12 21830700 0 85617000 17326000000 4300580000 9.3133E+14 6.59423E+11 1.17473E+14 1.70432E+11 0.019908245 0.101659313 0 0 0 0 0 0 0 0 0 0
0 1.68701E+12 1276140 0 126302000 667668000 7534180000 9.2726E+14 2.67036E+11 1.10098E+14 17326200000 0.016763868 0.038535166 0 0 0 0 0 0 0 0 0 0
0 1.92394E+12 1507050000 1499570000 32.2136 111325000 8905.75 9.1785E+14 1.49452E+11 9.88287E+13 5016050000 0.003617169 0.022193758 0 0 0 0 0 0 0 0 0 0
0 1.67112E+12 3055770000 2904410000 16553600 8283080000 1234700000 9.1622E+14 1.21252E+11 8.8004E+13 1.05111E+11 0.013406981 0.07880317 0 0 0 0 0 0 0 0 0 0
106,430,000,001,786,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000           0 0 0 0 0 0 0 0 0 0 0 0
0 1.78923E+12 1989300000 1963250000 21352300 4119610000 2089120000 9.1218E+14 1.8604E+11 1.06618E+14 45907000000 0.010220715 0.089738166 0 0 0 0 0 0 0 0 0 0
0 2.91317E+12 246536000 0 242191000 19527400000 8198620000 9.1187E+14 9.38709E+11 1.20851E+14 1.95465E+11 0.029540459 0.099902284 0 0 0 0 0 0 0 0 0 0
0 1.68186E+12 11931900000 11887800000 55662.3 6079600000 46769400 9.1052E+14 1.36088E+11 1.0304E+14 91755000000 0.001190144 0.066259059 0 0 0 0 0 0 0 0 0 0
0 2.12577E+12 4871760000 4864120000 147018 16629700000 49617400 9.0957E+14 3.71544E+11 1.1051E+14 2.23823E+11 0.002963033 0.074298441 0 0 0 0 0 0 0 0 0 0
0 2.02675E+12 4270220000 4233170000 1607980 228386000 193097000 8.9631E+14 2.63529E+11 9.64285E+13 6451950000 0.008327317 0.03539798 0 0 0 0 0 0 0 0 0 0
0 2.08704E+12 3443130 0 105961000 15555600000 4118000000 8.9469E+14 4.03191E+11 1.07666E+14 1.80412E+11 0.02573118 0.086222646 0 0 0 0 0 0 0 0 0 0
0 9.98671E+11 6028070000 5907060000 122391000 7455030000 4147390000 8.8832E+14 38182200000 8.14864E+13 85299400000 0.029510367 0.087398387 0 0 0 0 0 0 0 0 0 0
0 1.64944E+12 11441500000 11429900000 851887 13751100000 84941700 8.8661E+14 1.65754E+11 9.76845E+13 1.17967E+11 0.010029079 0.116567345 0 0 0 0 0 0 0 0 0 0
533,172,000,021,044,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000           0 0 0 0 0 0 0 0 0 0 0 0
166,005,000,002,910,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000           0 0 0 0 0 0 0 0 0 0 0 0
0 3.06463E+12 18599000000 18554800000 511233 28595000000 83196600 8.7813E+14 4.14364E+11 1.11632E+14 3.10197E+11 0.006144879 0.092183354 0 0 0 0 0 0 0 0 0 0
0 1.74866E+12 6218120000 6144810000 218490 8861100000 110723000 8.7711E+14 1.03545E+11 9.30892E+13 1.30948E+11 0.001973303 0.067668846 0 0 0 0 0 0 0 0 0 0
0 1.54234E+12 4616110000 4611570000 14832800 5974230000 597413000 8.6843E+14 1.36409E+11 1.17337E+14 80888400000 0.024828385 0.073857685 0 0 0 0 0 0 0 0 0 0
0 2.63875E+12 8791280000 8665270000 7875890 23481000000 963385000 8.668E+14 7.492E+11 1.15452E+14 2.15605E+11 0.008175226 0.108907493 0 0 0 0 0 0 0 0 0 0
0 1.4358E+12 1539600000 1512980000 26603600 3199660000 1199600000 8.648E+14 83235600000 7.40548E+13 52315900000 0.022177059 0.061160374 0 0 0 0 0 0 0 0 0 0
0 1.98944E+12 1949000 0 17383800 0 1244920000 8.6376E+14 3.81242E+11 1.10564E+14 0 0.013963789 0 0 0 0 0 0 0 0 0 0 0
0 1.4894E+12 25773800000 25657400000 356771 3307210000 80073500 8.5856E+14 81430200000 4.61368E+13 46592400000 0.004455544 0.070981748 0 0 0 0 0 0 0 0 0 0
0 1.48439E+12 8850640000 8775330000 10078700 1195630000 534677000 8.5794E+14 2.02777E+11 9.843E+13 20629600000 0.018850072 0.057957013 0 0 0 0 0 0 0 0 0 0
0 1.89248E+12 745838000 709476000 20303500 14089700000 1272060000 8.5551E+14 2.27584E+11 9.50972E+13 1.69843E+11 0.015961118 0.082957202 0 0 0 0 0 0 0 0 0 0
0 1.36885E+12 2888530000 2871290000 16965900 6630370000 822145000 8.5433E+14 84487100000 1.01373E+14 94619000000 0.020636141 0.070074404 0 0 0 0 0 0 0 0 0 0
0 6.86131E+11 15004700000 13748600000 959418 241237000 130594000 8.5295E+14 26429800000 7.50511E+13 9000960000 0.00734657 0.026801252 0 0 0 0 0 0 0 0 0 0
0 1.45572E+12 6058750000 5658300000 10705700 6626100000 690909000 8.4284E+14 1.21465E+11 9.01074E+13 94025100000 0.015495094 0.070471608 0 0 0 0 0 0 0 0 0 0
0 1.53898E+12 335902000 221616000 7564550 8170130000 830729000 8.3885E+14 2.51079E+11 9.98852E+13 1.07694E+11 0.009105918 0.075864301 0 0 0 0 0 0 0 0 0 0
0 8.04174E+11 1612930000 1367990000 0 785457 0 8.387E+14 45484800000 6.6796E+13 62321500 0 0.012603307 0 0 0 0 0 0 0 0 0 0
0 1.27419E+12 87513700 0 337653000 9882670000 13563100000 8.3303E+14 93288600000 8.81344E+13 1.26753E+11 0.024894972 0.077967938 0 0 0 0 0 0 0 0 0 0
0 1.19917E+12 48926100000 48902500000 4345990 15857200000 263214000 8.3288E+14 39804000000 7.17714E+13 1.83175E+11 0.016511242 0.086568582 0 0 0 0 0 0 0 0 0 0
0 1.72659E+12 766743000 753124000 436529000 78615700 9680430000 8.3199E+14 1.05959E+11 5.70068E+13 967918000 0.045093968 0.081221446 0 0 0 0 0 0 0 0 0 0
